"","Sample","Year","Season","Region","Harvest","ReefID","Collection","Shell","Class","Fishery","Pre.Fishery","Recruit"
"29","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",2,"Spat",0,0,1
"30","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R13",2,"Spat",0,0,1
"31","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",2.1,"Spat",0,0,1
"32","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",2.1,"Spat",0,0,1
"33","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",2.1,"Spat",0,0,1
"34","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.1,"Spat",0,0,1
"35","S16",2016,"Summer","Salt Run","Yes","SR28","S16SR28R2",2.1,"Spat",0,0,1
"36","S16",2016,"Summer","Matanzas River","Yes","FM368","S16FM368R24",2.1,"Spat",0,0,1
"37","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",2.1,"Spat",0,0,1
"38","S16",2016,"Summer","Matanzas River","Yes","FM384","S16FM384R4",2.2,"Spat",0,0,1
"39","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",2.2,"Spat",0,0,1
"40","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R19",2.2,"Spat",0,0,1
"41","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.2,"Spat",0,0,1
"42","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.2,"Spat",0,0,1
"43","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.2,"Spat",0,0,1
"44","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.2,"Spat",0,0,1
"45","S16",2016,"Summer","Matanzas River","Yes","FM562","S16FM562R1",2.2,"Spat",0,0,1
"46","W16",2016,"Winter","Matanzas River","No","FM31","W16FM31R1",2.2,"Spat",0,0,1
"47","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",2.3,"Spat",0,0,1
"48","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",2.3,"Spat",0,0,1
"49","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R19",2.3,"Spat",0,0,1
"50","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",2.3,"Spat",0,0,1
"51","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",2.3,"Spat",0,0,1
"52","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.3,"Spat",0,0,1
"53","S16",2016,"Summer","Salt Run","Yes","SR41","S16SR41R10",2.3,"Spat",0,0,1
"54","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",2.4,"Spat",0,0,1
"55","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R17",2.4,"Spat",0,0,1
"56","S16",2016,"Summer","Salt Run","Yes","SR41","S16SR41R12",2.4,"Spat",0,0,1
"57","W15",2015,"Winter","Salt Run","Yes","SR2","W15SR2R50",2.4,"Spat",0,0,1
"58","W16",2016,"Winter","Matanzas River","Yes","FM604","W16FM604R2",2.4,"Spat",0,0,1
"59","W16",2016,"Winter","Matanzas River","No","FM26","W16FM26R13",2.4,"Spat",0,0,1
"60","S16",2016,"Summer","Matanzas River","Yes","FM384","S16FM384R4",2.5,"Spat",0,0,1
"61","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",2.5,"Spat",0,0,1
"62","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.5,"Spat",0,0,1
"63","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",2.6,"Spat",0,0,1
"64","S15",2015,"Summer","Tolomato River","No","TR7","S15TR7R12",2.6,"Spat",0,0,1
"65","S16",2016,"Summer","Salt Run","No","SR1A","S16SR1R15",2.6,"Spat",0,0,1
"66","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R26",2.6,"Spat",0,0,1
"67","W16",2016,"Winter","Matanzas River","No","FM655","W16FM655R13",2.6,"Spat",0,0,1
"68","S16",2016,"Summer","Matanzas River","Yes","FM125","S16FM125R1",2.7,"Spat",0,0,1
"69","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",2.7,"Spat",0,0,1
"70","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",2.7,"Spat",0,0,1
"71","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.7,"Spat",0,0,1
"72","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",2.7,"Spat",0,0,1
"73","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R13",2.7,"Spat",0,0,1
"74","W15",2015,"Winter","Matanzas River","Yes","FM1","W15FM1R15",2.7,"Spat",0,0,1
"75","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",2.7,"Spat",0,0,1
"76","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R2",2.8,"Spat",0,0,1
"77","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",2.8,"Spat",0,0,1
"78","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R2",2.8,"Spat",0,0,1
"79","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R2",2.8,"Spat",0,0,1
"80","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",2.8,"Spat",0,0,1
"81","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R13",2.8,"Spat",0,0,1
"82","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",2.8,"Spat",0,0,1
"83","W16",2016,"Winter","Tolomato River","Yes","TR78","W16TR78R5",2.8,"Spat",0,0,1
"84","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",2.8,"Spat",0,0,1
"85","W16",2016,"Winter","Tolomato River","No","TR308","W16TR308RU1",2.8,"Spat",0,0,1
"86","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",2.9,"Spat",0,0,1
"87","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",2.9,"Spat",0,0,1
"88","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",2.9,"Spat",0,0,1
"89","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",2.9,"Spat",0,0,1
"90","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",2.9,"Spat",0,0,1
"91","S16",2016,"Summer","Salt Run","Yes","SR38","S16SR38R0",2.9,"Spat",0,0,1
"92","W15",2015,"Winter","Matanzas River","Yes","FM1","W15FM1R15",2.9,"Spat",0,0,1
"93","W16",2016,"Winter","Matanzas River","No","FM23","W16FM23R15",2.9,"Spat",0,0,1
"94","W16",2016,"Winter","Matanzas River","No","FM56","W16FM56R16",2.9,"Spat",0,0,1
"95","W16",2016,"Winter","Matanzas River","Yes","FM604","W16FM604R1",2.9,"Spat",0,0,1
"96","W16",2016,"Winter","Matanzas River","Yes","FM604","W16FM604R2",2.9,"Spat",0,0,1
"97","W16",2016,"Winter","Matanzas River","No","FM31","W16FM31R20",2.9,"Spat",0,0,1
"98","S15",2015,"Summer","Matanzas River","Yes","FM3A","S15FM3R17",3,"Spat",0,0,1
"99","S16",2016,"Summer","Salt Run","No","SR1A","S16SR1R15",3,"Spat",0,0,1
"100","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R25",3,"Spat",0,0,1
"101","W16",2016,"Winter","Matanzas River","Yes","FM40","W16FM40R1",3,"Spat",0,0,1
"102","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",3,"Spat",0,0,1
"103","W16",2016,"Winter","Matanzas River","No","FM23","W16FM23R12",3,"Spat",0,0,1
"104","W16",2016,"Winter","Tolomato River","No","TR307A","W16TR307AR2",3,"Spat",0,0,1
"105","S15",2015,"Summer","Salt Run","No","SR1","S15SR1R0",3.1,"Spat",0,0,1
"106","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.1,"Spat",0,0,1
"107","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.1,"Spat",0,0,1
"108","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.1,"Spat",0,0,1
"109","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.1,"Spat",0,0,1
"110","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.1,"Spat",0,0,1
"111","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.1,"Spat",0,0,1
"112","S16",2016,"Summer","Matanzas River","Yes","FM494","S16FM494R6",3.1,"Spat",0,0,1
"113","S16",2016,"Summer","Salt Run","No","SR1A","S16SR1R9",3.1,"Spat",0,0,1
"114","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R25",3.1,"Spat",0,0,1
"115","W16",2016,"Winter","Matanzas River","No","FM631","W16FM631R6",3.1,"Spat",0,0,1
"116","W16",2016,"Winter","Matanzas River","Yes","FM77","W16FM77R1",3.1,"Spat",0,0,1
"117","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",3.1,"Spat",0,0,1
"118","W16",2016,"Winter","Tolomato River","No","TR220","W16TR220R10",3.1,"Spat",0,0,1
"119","W16",2016,"Winter","Matanzas River","No","FM788","W16FM788R4",3.1,"Spat",0,0,1
"120","S16",2016,"Summer","Matanzas River","Yes","FM132","S16FM132R1",3.2,"Spat",0,0,1
"121","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.2,"Spat",0,0,1
"122","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R11",3.2,"Spat",0,0,1
"123","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",3.2,"Spat",0,0,1
"124","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.2,"Spat",0,0,1
"125","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.2,"Spat",0,0,1
"126","S16",2016,"Summer","Salt Run","Yes","SR22","S16SR22R1",3.2,"Spat",0,0,1
"127","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.2,"Spat",0,0,1
"128","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.2,"Spat",0,0,1
"129","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R20",3.2,"Spat",0,0,1
"130","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R17",3.2,"Spat",0,0,1
"131","W16",2016,"Winter","Matanzas River","No","FM26","W16FM26R13",3.2,"Spat",0,0,1
"132","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",3.3,"Spat",0,0,1
"133","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",3.3,"Spat",0,0,1
"134","S15",2015,"Summer","Tolomato River","No","TR16","S15TR16R2",3.3,"Spat",0,0,1
"135","S15",2015,"Summer","Tolomato River","No","TR16","S15TR16R5",3.3,"Spat",0,0,1
"136","S15",2015,"Summer","Tolomato River","No","TR16","S15TR16R5",3.3,"Spat",0,0,1
"137","S15",2015,"Summer","Tolomato River","Yes","TR2A","S15TR2R7",3.3,"Spat",0,0,1
"138","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",3.3,"Spat",0,0,1
"139","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",3.3,"Spat",0,0,1
"140","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",3.3,"Spat",0,0,1
"141","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",3.3,"Spat",0,0,1
"142","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.3,"Spat",0,0,1
"143","S16",2016,"Summer","Salt Run","Yes","SR22","S16SR22R2",3.3,"Spat",0,0,1
"144","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R1",3.3,"Spat",0,0,1
"145","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R1",3.3,"Spat",0,0,1
"146","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.3,"Spat",0,0,1
"147","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.3,"Spat",0,0,1
"148","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R13",3.3,"Spat",0,0,1
"149","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R15",3.3,"Spat",0,0,1
"150","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R15",3.3,"Spat",0,0,1
"151","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R17",3.3,"Spat",0,0,1
"152","S16",2016,"Summer","Salt Run","Yes","SR38","S16SR38R4",3.3,"Spat",0,0,1
"153","W15",2015,"Winter","Matanzas River","Yes","FM4","W15FM4R23",3.3,"Spat",0,0,1
"154","W15",2015,"Winter","Salt Run","Yes","SR2","W15SR2R21",3.3,"Spat",0,0,1
"155","W16",2016,"Winter","Matanzas River","Yes","FM40","W16FM40R1",3.3,"Spat",0,0,1
"156","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R26",3.3,"Spat",0,0,1
"157","S15",2015,"Summer","Salt Run","No","SR10","S15SR10R17",3.4,"Spat",0,0,1
"158","S15",2015,"Summer","Tolomato River","No","TR7","S15TR7R12",3.4,"Spat",0,0,1
"159","S16",2016,"Summer","Matanzas River","Yes","FM125","S16FM125R10",3.4,"Spat",0,0,1
"160","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R11",3.4,"Spat",0,0,1
"161","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R11",3.4,"Spat",0,0,1
"162","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",3.4,"Spat",0,0,1
"163","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.4,"Spat",0,0,1
"164","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.4,"Spat",0,0,1
"165","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R2",3.4,"Spat",0,0,1
"166","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.4,"Spat",0,0,1
"167","S16",2016,"Summer","Matanzas River","Yes","FM390","S16FM390R8",3.4,"Spat",0,0,1
"168","S16",2016,"Summer","Salt Run","No","SR85","S16SR85R3",3.4,"Spat",0,0,1
"169","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",3.4,"Spat",0,0,1
"170","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",3.4,"Spat",0,0,1
"171","S15",2015,"Summer","Salt Run","No","SR10","S15SR10R15",3.5,"Spat",0,0,1
"172","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",3.5,"Spat",0,0,1
"173","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",3.5,"Spat",0,0,1
"174","S15",2015,"Summer","Matanzas River","Yes","CO","S15COR12",3.5,"Spat",0,0,1
"175","S16",2016,"Summer","Matanzas River","Yes","FM125","S16FM125R1",3.5,"Spat",0,0,1
"176","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.5,"Spat",0,0,1
"177","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R19",3.5,"Spat",0,0,1
"178","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.5,"Spat",0,0,1
"179","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.5,"Spat",0,0,1
"180","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.5,"Spat",0,0,1
"181","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.5,"Spat",0,0,1
"182","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",3.5,"Spat",0,0,1
"183","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.5,"Spat",0,0,1
"184","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.5,"Spat",0,0,1
"185","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R1",3.5,"Spat",0,0,1
"186","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R1",3.5,"Spat",0,0,1
"187","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.5,"Spat",0,0,1
"188","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.5,"Spat",0,0,1
"189","S16",2016,"Summer","Matanzas River","Yes","FM368","S16FM368R24",3.5,"Spat",0,0,1
"190","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R11",3.5,"Spat",0,0,1
"191","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R17",3.5,"Spat",0,0,1
"192","S16",2016,"Summer","Salt Run","Yes","SR38","S16SR38R4",3.5,"Spat",0,0,1
"193","S16",2016,"Summer","Salt Run","No","SR85","S16SR85R23",3.5,"Spat",0,0,1
"194","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R25",3.5,"Spat",0,0,1
"195","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R25",3.5,"Spat",0,0,1
"196","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R25",3.5,"Spat",0,0,1
"197","W15",2015,"Winter","Matanzas River","Yes","FM1","W15FM1R15",3.5,"Spat",0,0,1
"198","W16",2016,"Winter","Matanzas River","No","FM23","W16FM23R12",3.5,"Spat",0,0,1
"199","W16",2016,"Winter","Tolomato River","No","TR308","W16TR308RU2",3.5,"Spat",0,0,1
"200","W16",2016,"Winter","Matanzas River","Yes","FM604","W16FM604R2",3.5,"Spat",0,0,1
"201","W16",2016,"Winter","Matanzas River","Yes","FM604","W16FM604R9",3.5,"Spat",0,0,1
"202","S15",2015,"Summer","Matanzas River","Yes","FM3A","S15FM3R17",3.6,"Spat",0,0,1
"203","S15",2015,"Summer","Salt Run","No","SR1","S15SR1R0",3.6,"Spat",0,0,1
"204","S15",2015,"Summer","Salt Run","No","SR5","S15SR5R4",3.6,"Spat",0,0,1
"205","S15",2015,"Summer","Matanzas River","Yes","FM206","S15FM206R22",3.6,"Spat",0,0,1
"206","S16",2016,"Summer","Matanzas River","Yes","FM125","S16FM125R1",3.6,"Spat",0,0,1
"207","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",3.6,"Spat",0,0,1
"208","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.6,"Spat",0,0,1
"209","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.6,"Spat",0,0,1
"210","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.6,"Spat",0,0,1
"211","S16",2016,"Summer","Matanzas River","Yes","FM373","S16FM373R5",3.6,"Spat",0,0,1
"212","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R15",3.6,"Spat",0,0,1
"213","S16",2016,"Summer","Salt Run","No","SR86","S16SR86R13",3.6,"Spat",0,0,1
"214","W15",2015,"Winter","Matanzas River","Yes","FM3","W15FM3R16",3.6,"Spat",0,0,1
"215","S15",2015,"Summer","Salt Run","No","SR10","S15SR10R17",3.7,"Spat",0,0,1
"216","S15",2015,"Summer","Tolomato River","Yes","TR2A","S15TR2R5",3.7,"Spat",0,0,1
"217","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R12",3.7,"Spat",0,0,1
"218","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R2",3.7,"Spat",0,0,1
"219","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.7,"Spat",0,0,1
"220","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R35",3.7,"Spat",0,0,1
"221","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.7,"Spat",0,0,1
"222","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.7,"Spat",0,0,1
"223","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.7,"Spat",0,0,1
"224","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",3.7,"Spat",0,0,1
"225","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",3.7,"Spat",0,0,1
"226","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",3.7,"Spat",0,0,1
"227","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.7,"Spat",0,0,1
"228","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.7,"Spat",0,0,1
"229","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.7,"Spat",0,0,1
"230","S16",2016,"Summer","Matanzas River","Yes","FM368","S16FM368R17",3.7,"Spat",0,0,1
"231","S16",2016,"Summer","Salt Run","No","SR60","S16SR60R8",3.7,"Spat",0,0,1
"232","S16",2016,"Summer","Salt Run","No","SR85","S16SR85R19",3.7,"Spat",0,0,1
"233","S16",2016,"Summer","Salt Run","No","SR85","S16SR85R23",3.7,"Spat",0,0,1
"234","W15",2015,"Winter","Matanzas River","Yes","FM4","W15FM4R25",3.7,"Spat",0,0,1
"235","W16",2016,"Winter","Tolomato River","Yes","TR78","W16TR78R6",3.7,"Spat",0,0,1
"236","W16",2016,"Winter","Matanzas River","Yes","FM79","W16FM79R9",3.7,"Spat",0,0,1
"237","W16",2016,"Winter","Matanzas River","Yes","FM84","W16FM84R5",3.7,"Spat",0,0,1
"238","W16",2016,"Winter","Matanzas River","No","FM56","W16FM56R16",3.7,"Spat",0,0,1
"239","S16",2016,"Summer","Salt Run","No","SR70","S16SR70R3",3.8,"Spat",0,0,1
"240","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R19",3.8,"Spat",0,0,1
"241","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R19",3.8,"Spat",0,0,1
"242","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",3.8,"Spat",0,0,1
"243","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",3.8,"Spat",0,0,1
"244","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R12",3.8,"Spat",0,0,1
"245","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R13",3.8,"Spat",0,0,1
"246","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R2",3.8,"Spat",0,0,1
"247","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R11",3.8,"Spat",0,0,1
"248","S16",2016,"Summer","Salt Run","No","SR7A","S16SR7R2",3.8,"Spat",0,0,1
"249","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R11",3.8,"Spat",0,0,1
"250","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R20",3.8,"Spat",0,0,1
"251","S16",2016,"Summer","Salt Run","No","SR76","S16SR76R20",3.8,"Spat",0,0,1
"252","S16",2016,"Summer","Salt Run","No","SR80","S16SR80R17",3.8,"Spat",0,0,1
"253","S16",2016,"Summer","Salt Run","No","SR55","S16SR55R4",3.8,"Spat",0,0,1
"254","S16",2016,"Summer","Salt Run","Yes","SR38","S16SR38R4",3.8,"Spat",0,0,1
"255","W16",2016,"Winter","Salt Run","No","SR56","W16SR56R5",3.8,"Spat",0,0,1
"256","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R26",3.8,"Spat",0,0,1
"257","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",3.8,"Spat",0,0,1
"258","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",3.8,"Spat",0,0,1
"259","W16",2016,"Winter","Matanzas River","No","FM24","W16FM24R32",3.8,"Spat",0,0,1
"260","W16",2016,"Winter","Matanzas River","No","FM655","W16FM655R13",3.8,"Spat",0,0,1
"261","W16",2016,"Winter","Matanzas River","Yes","FM604","W16FM604R1",3.8,"Spat",0,0,1
"262","W16",2016,"Winter","Matanzas River","No","FM614","W16FM614R5",3.8,"Spat",0,0,1
"263","S15",2015,"Summer","Salt Run","No","SR1","S15SR1R14",3.9,"Spat",0,0,1
"264","S15",2015,"Summer","Salt Run","No","SR8","S15SR8R10",3.9,"Spat",0,0,1
"265","S15",2015,"Summer","Tolomato River","No","TR10","S15TR10R0",3.9,"Spat",0,0,1
"266","S15",2015,"Summer","Tolomato River","No","TR10","S15TR10R7",3.9,"Spat",0,0,1
"267","S15",2015,"Summer","Tolomato River","No","TR16","S15TR16R2",3.9,"Spat",0,0,1
"268","S15",2015,"Summer","Tolomato River","No","TR16","S15TR16R2",3.9,"Spat",0,0,1
"269","S15",2015,"Summer","Tolomato River","No","TR7","S15TR7R12",3.9,"Spat",0,0,1
"270","S16",2016,"Summer","Tolomato River","No","TR209A","S16TR209R11",3.9,"Spat",0,0,1
"271","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.9,"Spat",0,0,1
"272","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R11",3.9,"Spat",0,0,1
"273","S16",2016,"Summer","Tolomato River","No","TR627","S16TR627R3",3.9,"Spat",0,0,1
"274","S16",2016,"Summer","Salt Run","No","SR71","S16SR71R2",3.9,"Spat",0,0,1
"275","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R1",3.9,"Spat",0,0,1
"276","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R1",3.9,"Spat",0,0,1
"277","S16",2016,"Summer","Salt Run","No","SR6A","S16SR6R2",3.9,"Spat",0,0,1
"278","S16",2016,"Summer","Salt Run","No","SR1A","S16SR1R0",3.9,"Spat",0,0,1
